Subject,School,Gender,SEN,Questionnaire,Age_months_1,Mum_EDU,higherSES,Monoling_exposure_MONTHS,L1PERCinput,ENGexposureTOT,ENGexposurePERC,EngCUMInput,EngCUMOutput,VOC_BPVS1,GRAMM_WordStruct1,VOC_mean_SYNOPP1,GRAMM_TROGshort1,age_MONTHS_2,VOC_BPVS_2,GRAMM_WordStruct_2,VOC_meanSYNOPP_2,GRAMM_TROGshort_2,Age_months_3,VOC_BPVS_3,GRAMM_WordStruct_3,VOC_meanSYNOPP_3,GRAMM_TROGshort_3
500605,f,M,NO,Y,64,NA,NA,12,0.31,52,0.69,33.81,44.1,69,7,9,30,69,76,16,17.5,30,76,81,22,22.5,32
500606,f,M,NO,Y,72,NA,NA,12,0.52,60,0.48,27.84,27.84,74,21,14,29,77,89,20,15.5,34,84,100,22,21.5,37
500607,f,M,NO,N,75,NA,NA,NA,NA,NA,NA,NA,NA,67,15,8.5,25,80,81,17,14,26,87,93,19,16.5,29
500608,f,M,NO,Y,69,3,7.2,24,0.52,45,0.48,20.88,28.275,66,7,5.5,18,74,76,13,3.5,21,81,76,12,6,18
500609,f,M,NO,Y,64,4,5,36,0.52,28,0.48,12,20.75,62,6,5.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500701,g,F,NO,Y,71,1,12.1,0,0.49,71,0.51,36.21,58.93,74,16,11,17,77,69,23,10,23,83,90,22,16.5,32
500702,g,F,NO,Y,69,4,4.1,54,0.52,15,0.48,6.96,6.96,52,8,6,19,74,67,11,8,22,81,79,16,14.5,28
500703,g,M,NO,Y,75,4,3.2,48,0.19,27,0.81,20.655,21.93,100,22,22.5,33,80,104,27,23.5,33,87,122,27,26,33
500704,g,M,NO,Y,64,3,NA,12,0.52,52,0.48,23.16,23.16,52,6,0.5,13,70,59,14,6,7,77,74,18,5.5,16
500705,g,M,NO,Y,70,3,4.3,12,0.4,58,0.6,33,33,66,14,5,16,75,82,19,12,25,82,77,19,7.5,26
500706,g,M,NO,Y,70,3,11.1,24,0.69,46,0.31,13.33,25.37,67,16,12,24,75,72,18,14,21,82,95,22,23.5,30
500707,g,M,NO,Y,74,3,10,42,0.46,32,0.54,14.85,20.35,74,11,8.5,27,79,94,15,NA,NA,NA,NA,NA,NA,NA
500708,g,M,NO,N,68,NA,NA,NA,NA,NA,NA,NA,NA,90,19,9.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500709,g,F,NO,Y,67,4,7.1,0,0.35,67,0.65,41.925,53.535,41,11,5.5,10,72,64,15,10,23,79,74,20,9,22
500710,g,F,NO,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,66,19,5,24,74,74,19,8.5,27,80,79,20,6.5,29
500711,g,F,NO,Y,66,4,NA,48,0.53,18,0.47,7.755,7.755,63,14,8,16,71,59,17,10.5,21,NA,NA,NA,NA,NA
500712,g,F,NO,Y,66,4,3.2,63,0.69,3,0.31,0.93,0.93,37,2,2,13,71,52,6,4,5,NA,NA,NA,NA,NA
500801,h,F,NO,Y,76,4,3.2,24,0.27,52,0.73,35.04,41.28,90,22,14.5,29,81,89,23,18,35,88,114,26,18,33
500802,h,F,NO,Y,76,4,3.2,12,0.35,64,0.65,39.65,50.63,75,11,1.5,12,81,83,15,11,18,88,78,15,6.5,10
500803,h,M,NO,Y,73,3,8.1,42,0.57,31,0.43,12.685,17.7,62,17,9,29,78,80,17,12,33,85,93,20,19.5,35
500804,h,F,NO,N,68,NA,NA,NA,NA,NA,NA,NA,NA,60,12,5.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500805,h,F,NO,Y,73,4,4.2,24,0.41,49,0.59,28.025,34.675,78,16,9.5,25,80,85,20,17.5,30,86,93,26,22.5,29
500806,h,F,NO,Y,71,4,NA,36,0.52,35,0.48,16.56,22.425,57,16,10.5,20,77,85,16,9,22,83,77,21,20.5,27
500807,h,F,NO,Y,70,4,4.2,24,0.52,46,0.48,22.08,29.9,88,26,16,30,75,93,27,23,36,81,114,29,22,36
500808,h,F,NO,Y,65,3,9.1,0,0.35,65,0.65,42.25,48.1,72,26,5,28,70,79,27,15.5,35,77,97,29,19,38
500809,h,M,NO,Y,72,3,12.4,42,0.69,30,0.31,8.37,8.91,50,7,5,27,77,58,12,7,27,83,68,12,9,27
500810,h,M,NO,Y,68,4,3.1,0,0.05,68,0.95,58.6625,60.515,106,21,18,34,74,119,26,24,36,80,123,29,24.5,37
500901,i,M,NO,Y,70,4,7.1,12,0.67,58,0.33,17.49,17.49,64,14,4.5,23,75,72,19,11,34,82,80,26,11,34
500902,i,F,NO,Y,68,4,7.1,51,0.52,17,0.48,7.68,7.68,64,16,6.5,24,73,69,22,7.5,27,80,76,25,14.5,33
500903,i,M,NO,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,44,3,3.5,5,76,60,10,8,17,82,65,12,10,20
500904,i,F,NO,Y,67,3,2,48,0.54,19,0.46,8.74,14.44,70,12,5.5,7,72,79,16,11,10,79,68,16,12,9
500905,i,M,NO,Y,69,4,3.2,6,0.52,63,0.48,28.44,49.77,85,23,19,29,74,90,25,19.5,36,NA,NA,NA,NA,NA
500906,i,M,NO,Y,70,3,11.1,48,0.69,22,0.31,6.82,6.82,59,12,2.5,22,75,68,18,6,23,81,79,20,12.5,21
500907,i,F,NO,Y,69,3,6,42,0.69,27,0.31,7.905,12.24,64,16,7.5,21,74,73,18,10,32,80,81,20,15.5,29
500908,i,F,NO,Y,71,2,8.1,0,0.3,71,0.7,48.65,59.075,66,17,9.5,23,76,77,18,13.5,19,82,84,25,10.5,24
